# radius         dens           temp        c12          ne22
195
1.2217E+07  1.9005E+09  5.0000E+07  5.0000E-01  0.0000E+00
1.3525E+07  1.8789E+09  5.0000E+07  5.0000E-01  0.0000E+00
1.4921E+07  1.8539E+09  5.0000E+07  5.0000E-01  0.0000E+00
1.6407E+07  1.8250E+09  5.0000E+07  5.0000E-01  0.0000E+00
1.7989E+07  1.7920E+09  5.0000E+07  5.0000E-01  0.0000E+00
1.9671E+07  1.7546E+09  5.0000E+07  5.0000E-01  0.0000E+00
2.1458E+07  1.7123E+09  5.0000E+07  5.0000E-01  0.0000E+00
2.3356E+07  1.6650E+09  5.0000E+07  5.0000E-01  0.0000E+00
2.5374E+07  1.6123E+09  5.0000E+07  5.0000E-01  0.0000E+00
2.7521E+07  1.5541E+09  5.0000E+07  5.0000E-01  0.0000E+00
2.9807E+07  1.4902E+09  5.0000E+07  5.0000E-01  0.0000E+00
3.2247E+07  1.4203E+09  5.0000E+07  5.0000E-01  0.0000E+00
3.4860E+07  1.3445E+09  5.0000E+07  5.0000E-01  0.0000E+00
3.7670E+07  1.2626E+09  5.0000E+07  5.0000E-01  0.0000E+00
4.0711E+07  1.1747E+09  5.0000E+07  5.0000E-01  0.0000E+00
4.4034E+07  1.0803E+09  5.0000E+07  5.0000E-01  0.0000E+00
4.7716E+07  9.7928E+08  5.0000E+07  5.0000E-01  0.0000E+00
5.1899E+07  8.7029E+08  5.0000E+07  5.0000E-01  0.0000E+00
5.6961E+07  7.4824E+08  5.0000E+07  5.0000E-01  0.0000E+00
6.2345E+07  6.3145E+08  5.0000E+07  5.0000E-01  0.0000E+00
6.7304E+07  5.3620E+08  5.0000E+07  5.0000E-01  0.0000E+00
7.2085E+07  4.5531E+08  5.0000E+07  5.0000E-01  0.0000E+00
7.6937E+07  3.8367E+08  5.0000E+07  5.0000E-01  0.0000E+00
8.1624E+07  3.2371E+08  5.0000E+07  5.0000E-01  0.0000E+00
8.6240E+07  2.7275E+08  5.0000E+07  5.0000E-01  0.0000E+00
9.0821E+07  2.2929E+08  5.0000E+07  5.0000E-01  0.0000E+00
9.5627E+07  1.9043E+08  5.0000E+07  5.0000E-01  0.0000E+00
1.0024E+08  1.5882E+08  5.0000E+07  5.0000E-01  0.0000E+00
1.0476E+08  1.3253E+08  5.0000E+07  5.0000E-01  0.0000E+00
1.0923E+08  1.1046E+08  5.0000E+07  5.0000E-01  0.0000E+00
1.1376E+08  9.1570E+07  5.0000E+07  5.0000E-01  0.0000E+00
1.1848E+08  7.5032E+07  5.0000E+07  5.0000E-01  0.0000E+00
1.2298E+08  6.1865E+07  5.0000E+07  5.0000E-01  0.0000E+00
1.2732E+08  5.1152E+07  5.0000E+07  5.0000E-01  0.0000E+00
1.3158E+08  4.2265E+07  5.0000E+07  5.0000E-01  0.0000E+00
1.3578E+08  3.4885E+07  5.0000E+07  5.0000E-01  0.0000E+00
1.4006E+08  2.8545E+07  5.0000E+07  5.0000E-01  0.0000E+00
1.4450E+08  2.3040E+07  5.0000E+07  5.0000E-01  0.0000E+00
1.4877E+08  1.8619E+07  5.0000E+07  5.0000E-01  0.0000E+00
1.5284E+08  1.5091E+07  5.0000E+07  5.0000E-01  0.0000E+00
1.5670E+08  1.2270E+07  5.0000E+07  5.0000E-01  0.0000E+00
1.6038E+08  9.9834E+06  5.0000E+07  5.0000E-01  0.0000E+00
1.6393E+08  8.1102E+06  5.0000E+07  5.0000E-01  0.0000E+00
1.6734E+08  6.5732E+06  5.0000E+07  5.0000E-01  0.0000E+00
1.7062E+08  5.3122E+06  5.0000E+07  5.0000E-01  0.0000E+00
1.7377E+08  4.2705E+06  5.0000E+07  5.0000E-01  0.0000E+00
1.7684E+08  3.4030E+06  5.0000E+07  5.0000E-01  0.0000E+00
1.7980E+08  2.6866E+06  5.0000E+07  5.0000E-01  0.0000E+00
1.8258E+08  2.1098E+06  5.0000E+07  5.0000E-01  0.0000E+00
1.8513E+08  1.6543E+06  5.0000E+07  5.0000E-01  0.0000E+00
1.8745E+08  1.2966E+06  5.0000E+07  5.0000E-01  0.0000E+00
1.8955E+08  1.0145E+06  5.0000E+07  5.0000E-01  0.0000E+00
1.9145E+08  7.9139E+05  5.0000E+07  5.0000E-01  0.0000E+00
