  #time                     mass                      x-momentum                y-momentum                z-momentum                E_internal+kinetic        E_kinetic_(from_vel)      E_internal                E_grav                    E_restmass                E_neutloss                mass_burned               mass_burned_to_NSQE       mass_burned_to_NSE        mass_burned_by_flame      estimated_Ni56_mass       mass_with_dens_>_1e9      mass_with_dens_>_3e8      mass_with_dens_>_1e8      mass_with_dens_>_3e7      mass_with_dens_>_2e7      mass_with_dens_>_1.5e7    mass_with_dens_>_1e7      mass_with_dens_>_7e6      mass_with_dens_>_3e6      mass_with_dens_>_1e6      burned_volume             maximum_density           minimum_flame_density     T_max                     Pressure_at_T_max        
  3.663098904261890675E-03  2.745879400917111311E+33 -7.215020407187558743E+26 -3.926269941187480424E+26 -3.849717267516177967E+31  2.529663020301797531E+51  4.937397694753069233E+44  2.529662526562029742E+51 -3.039320710233465300E+51 -2.073969147296162422E+52  2.614215188449720764E+44  5.108642373807953447E+28  5.108642373807953447E+28  5.108620652602598551E+28  5.108621826580155450E+28  4.768164545017215422E+28  6.828330109724550598E+32  1.748214380805680738E+33  2.312015480969356442E+33  2.599538985640646776E+33  2.648716647457802338E+33  2.674268413896288364E+33  2.700180333071017382E+33  2.715708229614382739E+33  2.735389881278721819E+33  2.743522776684643925E+33  2.539326023933045146E+19  2.198127152392988205E+09  2.175524435291178226E+09  8.462091330331204414E+09  1.386602751742573460E+27
  4.093365127061216434E-03  2.745879400917109005E+33 -4.691104416753048162E+26 -1.713671238769668334E+27 -4.349162242084553255E+31  2.529667703256931452E+51  5.884314369451526036E+44  2.529667114825489767E+51 -3.039325152188103313E+51 -2.073969161632298417E+52  2.928011277660977433E+44  5.146249887196098950E+28  5.146249887196098950E+28  5.146230035886657779E+28  5.146224771957758064E+28  4.764908990521516508E+28  6.828365124860617628E+32  1.748335322152407405E+33  2.312032714433539929E+33  2.599536490436929329E+33  2.648716943606134977E+33  2.674268653867702693E+33  2.700180496525547125E+33  2.715708116460797330E+33  2.735389167032570108E+33  2.743521112880060099E+33  2.558463839435646976E+19  2.197996910674168587E+09  2.175475909083619118E+09  8.467441444868896484E+09  1.386484965302889235E+27
  4.566657972140474898E-03  2.745879400917110158E+33 -1.932760709375922654E+27 -3.301869200089490194E+27 -4.904086953246800948E+31  2.529672856699894404E+51  6.698067137335848630E+44  2.529672186893176293E+51 -3.039330041677929879E+51 -2.073969177472928031E+52  3.274833613031675303E+44  5.187875058417926585E+28  5.187875058417926585E+28  5.187856922756278148E+28  5.187844862204313835E+28  4.761370034826473001E+28  6.826436580277114956E+32  1.748377990473612214E+33  2.312040159292920602E+33  2.599536993235397834E+33  2.648716611828406728E+33  2.674268918287125358E+33  2.700180677862671085E+33  2.715708245336319046E+33  2.735387794707136131E+33  2.743519546115006395E+33  2.579513075567934259E+19  2.197980942159624577E+09  2.175520636451296329E+09  8.473291503852322578E+09  1.386460762733448653E+27
  5.087280101727658863E-03  2.745879400917113617E+33 -9.495923418413597382E+26 -1.774485874336063625E+27 -5.520603046148225889E+31  2.529678527871424101E+51  7.288611192730068023E+44  2.529677799010301270E+51 -3.039335423429458592E+51 -2.073969194990978510E+52  3.658381252321789454E+44  5.233976020122409638E+28  5.233976020122409638E+28  5.233959455895723949E+28  5.233940207878688254E+28  4.757523245248926790E+28  6.826476756879648541E+32  1.748322772166716896E+33  2.312064036124267844E+33  2.599534599239946390E+33  2.648716965056128890E+33  2.674269209565808674E+33  2.700180879295774885E+33  2.715708387558459011E+33  2.735386405207517096E+33  2.743517961135632981E+33  2.602671675490425242E+19  2.198002662061216831E+09  2.175465082668459892E+09  8.479706744951560020E+09  1.386455060678604474E+27
  5.659964444273560616E-03  2.745879400917107276E+33  6.145309951487926709E+26  1.604688465078002661E+27 -6.204857198337649445E+31  2.529684769060966592E+51  7.631137646784030946E+44  2.529684005947204472E+51 -3.039341347252155617E+51 -2.073969214392029849E+52  4.082810368605672580E+44  5.285069990186348282E+28  5.285069990186348282E+28  5.285054863579882976E+28  5.285028275626797311E+28  4.753345815154538646E+28  6.826519521307478013E+32  1.748307375009582984E+33  2.312078091130398012E+33  2.599533248868965978E+33  2.648717350148545203E+33  2.674269530319500951E+33  2.700181103345666053E+33  2.715708545215904008E+33  2.735384202096202858E+33  2.743515945869520305E+33  2.628220604628232192E+19  2.197830479763559818E+09  2.175242704878579140E+09  8.486682315314108849E+09  1.386396750138580030E+27
  6.289917221074053932E-03  2.745879400917109005E+33  3.199611076269430897E+27  3.396902103190758934E+27 -6.967226953721118741E+31  2.529691637709135146E+51  7.784815687402053889E+44  2.529690859227570347E+51 -3.039347862729467182E+51 -2.073969235909044676E+52  4.552790981886880546E+44  5.341741072593904739E+28  5.341741072593904739E+28  5.341727179363769623E+28  5.341693734427653003E+28  4.748814731462106449E+28  6.826564971308255862E+32  1.748331877419508039E+33  2.312056117693778359E+33  2.599536882234696185E+33  2.648717114491137172E+33  2.674269883415288541E+33  2.700181352878954208E+33  2.715708946858209914E+33  2.735382492990473294E+33  2.743513291344784363E+33  2.656493303700855603E+19  2.197592963823600292E+09  2.174957864959022522E+09  8.494365957406198502E+09  1.386438752065801028E+27
  6.929287770597009066E-03  2.745879400917114194E+33  8.540125887013746930E+27  7.575110296239334930E+27 -7.727772987837301574E+31  2.529698612821309932E+51  7.845702125470801102E+44  2.529697828251098662E+51 -3.039354470331703082E+51 -2.073969258006112800E+52  5.033039302150184065E+44  5.399775408723249184E+28  5.399775408723249184E+28  5.399761659205057574E+28  5.399723416750093296E+28  4.744310804563064529E+28  6.826609651598799781E+32  1.748218983485355955E+33  2.312017694635737960E+33  2.599540530073124979E+33  2.648720158239936978E+33  2.674270241958859671E+33  2.700181609399619411E+33  2.715709352242017615E+33  2.735380861117408104E+33  2.743513070569409899E+33  2.685419989051266253E+19  2.197528946081790447E+09  2.174835028185869694E+09  8.502421789983637810E+09  1.386540841991387457E+27
  7.568643338012753102E-03  2.745879400917111311E+33  4.294916758306216408E+27  6.546616655202189160E+27 -8.490661810632995156E+31  2.529705590613755003E+51  7.880830114475039815E+44  2.529704802530745388E+51 -3.039361073713325069E+51 -2.073969280319945844E+52  5.516549555463694893E+44  5.458333382784669568E+28  5.458333382784669568E+28  5.458319612503998789E+28  5.458277236865300871E+28  4.739907836873662211E+28  6.827308593332772551E+32  1.748224190600133666E+33  2.312011988936593071E+33  2.599540250126242536E+33  2.648723197839135940E+33  2.674270600630325536E+33  2.700181869131060900E+33  2.715709524875262133E+33  2.735377868152234172E+33  2.743511904340678913E+33  2.714609033960922726E+19  2.197447391044182777E+09  2.174865605285389423E+09  8.510423097986004829E+09  1.386575728892625198E+27
  8.207961335113696938E-03  2.745879400917111888E+33  5.023294564624030485E+27  5.293083361790373316E+27 -9.257676376130112633E+31  2.529712570504802513E+51  7.898044902210452218E+44  2.529711780700308723E+51 -3.039367676709541386E+51 -2.073969302846535120E+52  6.003331092974854619E+44  5.517415769324133260E+28  5.517415769324133260E+28  5.517401985155058760E+28  5.517355449770309519E+28  4.735605504663430449E+28  6.828662236482684528E+32  1.748357306122373873E+33  2.312022665434720285E+33  2.599539976069491369E+33  2.648723612318350615E+33  2.674271942453361447E+33  2.700182131983179012E+33  2.715709468806984194E+33  2.735376007985099360E+33  2.743510836214812941E+33  2.744080783792920166E+19  2.197466760144559860E+09  2.174825639657056808E+09  8.518380221380143166E+09  1.386649470912460234E+27
  8.847255528015008502E-03  2.745879400917114194E+33  7.675045015749822362E+27  6.135109639884928276E+27 -1.002276009064285986E+32  2.529719552400531871E+51  7.865381202637674319E+44  2.529718765862412842E+51 -3.039374281370633712E+51 -2.073969325585193418E+52  6.493416631491973248E+44  5.577026672011864972E+28  5.577026672011864972E+28  5.577012872594355959E+28  5.576962076523455115E+28  4.731403596901783109E+28  6.828704614473289691E+32  1.748382363106524920E+33  2.312017030751222965E+33  2.599551506759917252E+33  2.648724678711448776E+33  2.674272792898379013E+33  2.700182397856867463E+33  2.715709411985620809E+33  2.735374192474577012E+33  2.743509699361049035E+33  2.773838464032976077E+19  2.197645238698764801E+09  2.174677462935581207E+09  8.526183604554825783E+09  1.386715927543526009E+27
  9.486513635351662144E-03  2.745879400917118229E+33  6.512266161405795360E+27  1.347923954671414312E+27 -1.080360274256562084E+32  2.529726535864055742E+51  7.744563318487408219E+44  2.529725761407726286E+51 -3.039380888070791691E+51 -2.073969348531540932E+52  6.986817041028603866E+44  5.637167668583560364E+28  5.637167668583560364E+28  5.637153848976683382E+28  5.637098715505081786E+28  4.727302320612355219E+28  6.828746509096316901E+32  1.748368119312970107E+33  2.312047545253640241E+33  2.599552232350530068E+33  2.648725085932932651E+33  2.674274135061348641E+33  2.700182666628718110E+33  2.715709582482248137E+33  2.735373193489776841E+33  2.743509594414053436E+33  2.803873007536212378E+19  2.197618686352900028E+09  2.174804176208750725E+09  8.533836918094439507E+09  1.386646633588852170E+27
  1.012571882018588679E-02  2.745879400917113617E+33  1.027734284506700331E+28  3.553306881103401584E+27 -1.157265100463331909E+32  2.529733520567819118E+51  7.521467966432703095E+44  2.529732768421024713E+51 -3.039387495326204093E+51 -2.073969371686722659E+52  7.483542291906270925E+44  5.697839685685931678E+28  5.697839685685931678E+28  5.697825854727722160E+28  5.697766319379471260E+28  4.723301359588766865E+28  6.828787935225991277E+32  1.748383331164760861E+33  2.312068330698822619E+33  2.599547068622225788E+33  2.648725489700402049E+33  2.674274494325593133E+33  2.700182938128685985E+33  2.715709294378917594E+33  2.735369626459626681E+33  2.743509156596245861E+33  2.834181745964258099E+19  2.197562974376230717E+09  2.175012653035362720E+09  8.541450833081876755E+09  1.386624330025719578E+27
  1.076490311151588261E-02  2.745879400917116499E+33  1.327745282690112318E+28  6.478709025178523662E+27 -1.228369031751046325E+32  2.529740506639422569E+51  7.224731889766316232E+44  2.529739784166233856E+51 -3.039394102769288202E+51 -2.073969395052607228E+52  7.983642645233319967E+44  5.759048492575520346E+28  5.759048492575520346E+28  5.759034653914116530E+28  5.758970704383417096E+28  4.719399989683266645E+28  6.828828699143860194E+32  1.748290303158150684E+33  2.312043378705342432E+33  2.599548797730430374E+33  2.648725889976043450E+33  2.674275345204697175E+33  2.700183212233629272E+33  2.715709123553174411E+33  2.735366604781978001E+33  2.743506591991844289E+33  2.864761832308332134E+19  2.197738514502842426E+09  2.174913225819077969E+09  8.549113178436384201E+09  1.386770527907631426E+27
  1.140407760207142601E-02  2.745879400917115923E+33  8.110437760737437912E+27  9.762349890644137025E+27 -1.296099867707272742E+32  2.529747493827626718E+51  6.909436321682206769E+44  2.529746802883994237E+51 -3.039400709913714719E+51 -2.073969418630899506E+52  8.487158563997672078E+44  5.820798143774558119E+28  5.820798143774558119E+28  5.820784296826139562E+28  5.820715963319687189E+28  4.715597070713520370E+28  6.828868783212536238E+32  1.748275731657336546E+33  2.312044807682110389E+33  2.599546602963442595E+33  2.648726286837996109E+33  2.674275704709924744E+33  2.700183488830566273E+33  2.715709525367618991E+33  2.735364492287094090E+33  2.743503413753357089E+33  2.895604265249334067E+19  2.197807987144030571E+09  2.174875382993100166E+09  8.556634233910577774E+09  1.386783696923989523E+27
